"","Largos","Dimension","Semillas"
"1297",19,90,18
"1298",18,90,18
"1299",10,90,18
"1300",15,90,18
"1301",24,90,18
"1302",12,90,18
"1303",72,90,18
"1304",8,90,18
"1305",6,90,18
"1306",17,90,18
"1307",16,90,18
"1308",14,90,18
"1309",7,90,18
"1310",14,90,18
"1311",16,90,18
"1312",8,90,18
"1313",19,90,18
"1314",13,90,18
"1315",37,90,18
"1316",44,90,18
"1317",17,90,18
"1318",32,90,18
"1319",29,90,18
"1320",19,90,18
"1321",11,90,18
"1322",22,90,18
"1323",9,90,18
"1324",18,90,18
"1325",10,90,18
"1326",27,90,18
"1327",20,90,18
"1328",10,90,18
"1329",19,90,18
"1330",6,90,18
"1331",23,90,18
"1332",10,90,18
"1333",40,90,18
"1334",13,90,18
"1335",44,90,18
"1336",23,90,18
"1337",19,90,18
"1338",17,90,18
"1339",21,90,18
"1340",26,90,18
"1341",18,90,18
"1342",11,90,18
"1343",3,90,18
"1344",11,90,18
"1345",15,90,18
"1346",17,90,18
"1347",5,90,18
"1348",44,90,18
"1349",19,90,18
"1350",14,90,18
"1351",19,90,18
"1352",25,90,18
"1353",15,90,18
"1354",28,90,18
"1355",29,90,18
"1356",19,90,18
"1357",24,90,18
"1358",18,90,18
"1359",21,90,18
"1360",19,90,18
"1361",7,90,18
"1362",23,90,18
"1363",10,90,18
"1364",22,90,18
"1365",7,90,18
"1366",12,90,18
"1367",25,90,18
"1368",40,90,18
"1369",18,90,18
"1370",7,90,18
"1371",5,90,18
"1372",40,90,18
"1373",3,90,18
"1374",52,90,18
"1375",5,90,18
"1376",16,90,18
"1377",11,90,18
"1378",24,90,18
"1379",15,90,18
"1380",29,90,18
"1381",23,90,18
"1382",61,90,18
"1383",35,90,18
"1384",11,90,18
"1385",44,90,18
"1386",65,90,18
"1387",12,90,18
"1388",16,90,18
"1389",5,90,18
"1390",9,90,18
"1391",29,90,18
"1392",19,90,18
"1393",19,90,18
"1394",103,90,18
"1395",14,90,18
"1396",16,90,18
"1397",5,90,18
"1398",7,90,18
"1399",9,90,18
"1400",15,90,18
"1401",11,90,52
"1402",33,90,52
"1403",16,90,52
"1404",30,90,52
"1405",43,90,52
"1406",13,90,52
