"","Tam","Rep","Gap","Time"
"",25000,1,0.0225441885713102,32.395
"",25000,2,0.00188077242499308,32.4570000000001
"",25000,3,0.0861556016643213,32.088
"",25000,4,0.117163592269944,32.4440000000001
"",25000,5,0.0178562639189942,32.239
"",25000,6,0.0512362296711152,32.2149999999999
"",25000,7,0.074211035227128,32.198
"",25000,8,0.0405828619443712,32.2569999999999
"",25000,9,0.0245982502581404,32.1429999999999
"",25000,10,0.0212272570885673,32.2170000000001
"",25000,11,0.0294874769926411,32.5170000000001
"",25000,12,0.149273531987801,32.2639999999999
"",25000,13,0.0925630619637495,198.61
"",25000,14,0.0324255731294436,31.8040000000001
"",25000,15,0.0195031613453616,31.655
"",25000,16,0.0102908288666642,31.403
"",25000,17,0.00890125916319072,31.586
"",25000,18,0.0201253079763464,31.2349999999999
"",25000,19,0.0228529818387488,31.4280000000001
"",25000,20,0.0184012122331407,31.329
"",25000,21,0.0534704207639583,32.451
"",25000,22,0.0680911955189808,34.1030000000001
"",25000,23,0.0500222292775185,33.5989999999999
"",25000,24,0.0871077142389448,36.7710000000002
"",25000,25,0.0336561861031185,35.6289999999999
"",25000,26,0.00537586935989832,37.5650000000001
"",25000,27,0.020686868870557,35.309
"",25000,28,0.0175217378792762,35.192
"",25000,29,0.00404232529709141,35.297
"",25000,30,0.0401151119470915,35.8050000000001
"",50000,1,0.0235477666905069,85.307
"",50000,2,0.0107926179262697,88.402
"",50000,3,0.0108955490154158,93.2259999999999
"",50000,4,0.0190785706026229,88.884
"",50000,5,0.00102703084342221,88.8500000000004
"",50000,6,0.0336304533308107,88.0449999999996
"",50000,7,0.0140992791651158,87.346
"",50000,8,0.0219735074848843,87.6500000000001
"",50000,9,0.0178350912428225,86.8389999999999
"",50000,10,0.0156561118884767,87.7959999999998
"",50000,11,0.00664964158808593,83.0400000000004
"",50000,12,0.0321765516966101,83.0830000000001
"",50000,13,0.0498595263537814,87.7930000000001
"",50000,14,0.00546593406289057,81.8319999999999
"",50000,15,0.00895272470774961,78.0879999999997
"",50000,16,0.00739589198440288,78.5679999999998
"",50000,17,0.0634804691835315,78.1529999999998
"",50000,18,0.00657244327121918,78.799
"",50000,19,0.0678679068584268,83.404
"",50000,20,0.00449264881210953,78.5240000000003
"",50000,21,0.0485342885809923,77.7240000000002
"",50000,22,0.0616019768065923,78.5070000000001
"",50000,23,0.0203008772862516,83.25
"",50000,24,0.00882862094243171,95.4160000000002
"",50000,25,0.00740045208051061,93.0569999999998
"",50000,26,0.0101023931706335,88.3980000000001
"",50000,27,0.0431773118492402,88.8650000000002
"",50000,28,0.0294102786757744,88.268
"",50000,29,0.0263223460013604,88.2200000000003
"",50000,30,0.0451504290252794,83.9499999999998
"",125000,1,0.0101306992201494,252.688
"",125000,2,0.0249945349513632,253.203
"",125000,3,0.00336356656706053,252.74
"",125000,4,0.0151594693833442,238.965
"",125000,5,0.0249430694067901,256.785
"",125000,6,0.011824502094968,263.761
"",125000,7,0.00485548090135765,260.451
"",125000,8,0.00770667207074112,270.005999999999
"",125000,9,0.00590596446899123,277.203
"",125000,10,0.000321952882760886,275.754
"",125000,11,0.0296052612868125,266.855
"",125000,12,0.026775242793615,262.660000000001
"",125000,13,0.0217058866531156,261.266000000001
"",125000,14,0.00988425106453823,269.714
"",125000,15,0.00567436951841942,267.714
"",125000,16,0.0170322287474737,271.639999999999
"",125000,17,0.0189518935600685,263.661
"",125000,18,0.0420450698686038,274.226000000001
"",125000,19,0.00967780242789485,282.428
"",125000,20,0.00403776520098368,267.545
"",125000,21,0.00459359308237025,259.668
"",125000,22,0.0178819966912878,268.279
"",125000,23,0.0348501867372171,264.978999999999
"",125000,24,0.0555856546459281,275.748
"",125000,25,0.0360287477079538,264.216
"",125000,26,0.0246697155621975,261.82
"",125000,27,0.0105424235767342,260.421999999999
"",125000,28,0.00283861801241214,258.689
"",125000,29,0.00324004926007943,245.112999999999
"",125000,30,0.0354363074870051,247.221
