"","Tam","Rep","Gap","Time","Val"
"",10000,4,0.0450518754743598,0.052,3.143008
"",10000,5,0.0822304701806213,0.0550000000000002,3.144176
"",10000,6,0.0461120759286842,0.0500000000000003,3.140144
"",10000,7,0.151027014414853,0.052,3.136848
"",10000,8,0.140290193420546,0.052,3.146
"",10000,9,0.111769627618478,0.0529999999999999,3.145104
"",10000,10,0.112278923436373,0.0940000000000003,3.14512
"",10000,11,0.0837999664528404,0.0529999999999999,3.13896
"",10000,12,0.193256958481525,0.052,3.147664
"",10000,13,0.0740817370943222,0.052,3.14392
"",10000,14,0.102134615897031,0.0530000000000004,3.138384
"",10000,15,0.234000623913063,0.052,3.148944
"",10000,16,0.0033312272255824,0.0499999999999998,3.141488
"",10000,17,0.321131817591472,0.0549999999999997,3.131504
"",10000,18,0.299232097422033,0.0529999999999999,3.132192
"",10000,19,0.321090208772936,0.0549999999999997,3.15168
"",10000,20,0.0903792032669345,0.0540000000000003,3.144432
"",10000,21,0.142836672510019,0.0490000000000004,3.14608
"",10000,22,0.0262079302122746,0.0510000000000002,3.142416
"",10000,23,0.137234418513179,0.0520000000000005,3.145904
"",10000,24,0.259974710625658,0.093,3.14976
"",10000,25,0.137276027331714,0.0500000000000007,3.13728
"",10000,26,0.0903792032669345,0.0499999999999998,3.144432
"",10000,27,0.0425470052034222,0.0510000000000002,3.140256
"",10000,28,0.425537460259761,0.0500000000000007,3.128224
"",10000,29,0.0394912302960548,0.0499999999999998,3.140352
"",10000,30,0.232514345277901,0.0469999999999997,3.134288
"",25000,1,0.0843092622707349,0.12,3.138944
"",25000,2,0.100666978788394,0.159999999999999,3.1447552
"",25000,3,0.231597612805693,0.124,3.1343168
"",25000,4,0.0523857352520331,0.119,3.1432384
"",25000,5,0.140331802239082,0.124,3.137184
"",25000,6,0.0769754024930615,0.16,3.1391744
"",25000,7,0.107736869893857,0.122,3.138208
"",25000,8,0.0217677358333406,0.119,3.1409088
"",25000,9,0.0589047217210809,0.123,3.1434432
"",25000,10,0.0985695451717689,0.163,3.138496
"",25000,11,0.000581029808946047,0.125999999999999,3.1415744
"",25000,12,0.210674875453509,0.122,3.1482112
"",25000,13,0.206540258565306,0.161,3.135104
"",25000,14,0.154184648485803,0.122,3.1367488
"",25000,15,0.0660348631715908,0.122,3.1436672
"",25000,16,0.244492117761672,0.122,3.1492736
"",25000,17,0.0315462155369051,0.164000000000001,3.1406016
"",25000,18,0.0436258471842578,0.12,3.1429632
"",25000,19,0.074183596257904,0.122,3.1439232
"",25000,20,0.0664422998259036,0.121,3.14368
"",25000,21,0.12301574443068,0.162,3.137728
"",25000,22,0.0743873145850533,0.122,3.1439296
"",25000,23,0.152003997232107,0.121,3.146368
"",25000,24,0.183784056268706,0.127,3.1473664
"",25000,25,0.0729612862949513,0.168,3.1438848
"",25000,26,0.0432184105299449,0.121,3.1429504
"",25000,27,0.164227096861577,0.121,3.146752
"",25000,28,0.102500443732808,0.122999999999999,3.1448128
"",25000,29,0.092314527374931,0.16,3.1444928
"",25000,30,0.00934091787672142,0.119,3.1412992
"",50000,1,0.075040078385065,0.283000000000001,3.1392352
"",50000,2,0.101481852097019,0.289,3.1447808
"",50000,3,0.159481324991898,0.277999999999999,3.1365824
"",50000,4,0.00964649536746665,0.282999999999999,3.1412896
"",50000,5,0.0211565808518642,0.282,3.140928
"",50000,6,0.0346622407893189,0.277000000000001,3.1426816
"",50000,7,0.0859992592330468,0.282,3.1442944
"",50000,8,0.0745910329122168,0.294,3.143936
"",50000,9,0.00400263255209099,0.278,3.1417184
"",50000,10,0.0105216190211387,0.282,3.1419232
"",50000,11,0.0375142973695229,0.282,3.1427712
"",50000,12,0.0456027801107897,0.284000000000001,3.14016
"",50000,13,0.0324629480091125,0.283000000000001,3.1405728
"",50000,14,0.0115818194754632,0.282999999999999,3.1412288
"",50000,15,0.0121929744569395,0.286,3.1412096
"",50000,16,0.135646280714449,0.321,3.1373312
"",50000,17,0.0272265218480638,0.292,3.142448
"",50000,18,0.0179573379623938,0.282999999999999,3.1421568
"",50000,19,0.0540154818692986,0.280000000000001,3.1432896
"",50000,20,0.0636921024092814,0.281000000000001,3.1435936
"",50000,21,0.00889187240388738,0.282,3.141872
"",50000,22,0.0171424646537682,0.285,3.1421312
"",50000,23,0.110792644801225,0.282999999999999,3.138112
"",50000,24,0.096023066082296,0.283999999999999,3.138576
"",50000,25,0.00654911164156386,0.280999999999999,3.1417984
"",50000,26,0.133405379115721,0.290999999999999,3.1374016
"",50000,27,0.0194852254160776,0.279,3.1422048
"",50000,28,0.13601210855024,0.280999999999999,3.1458656
"",50000,29,0.0616965279562384,0.282,3.1396544
"",50000,30,0.0419961005669923,0.280999999999999,3.142912
"",125000,1,0.0602492626803203,1.045,3.14348544
"",125000,2,0.0275125926591868,1.031,3.14072832
"",125000,3,0.0621234712901735,0.688000000000002,3.14354432
"",125000,4,0.0179378312827858,0.661000000000001,3.14102912
"",125000,5,0.0467436027428656,0.680999999999997,3.14012416
"",125000,6,0.0763837541912074,0.670000000000002,3.14399232
"",125000,7,0.0295090322653268,0.699999999999999,3.1406656
"",125000,8,0.0479039320545637,0.629000000000001,3.1430976
"",125000,9,0.0454398054490645,0.675000000000001,3.14016512
"",125000,10,0.0187314676055953,0.707000000000001,3.14218112
"",125000,11,0.0426887428793312,0.673000000000002,3.14293376
"",125000,12,0.0106642218501447,0.675999999999998,3.14192768
"",125000,13,0.0595566203679814,0.628,3.14346368
"",125000,14,0.0425470052034222,0.661999999999999,3.140256
"",125000,15,0.0450111318089214,0.666999999999998,3.14300672
"",125000,16,0.0365576863849883,0.661000000000001,3.14044416
"",125000,17,0.014412639069851,0.667999999999999,3.14204544
