"","m","vx","vy","vp"
"43",4,-11.6050953325376,8.14292926987199,14.1769367203012
"44",6,0.689412404414469,-4.1073209187804,4.16477785640622
"45",1,-2.0658010968239,66.5232911691236,66.5553589288168
"46",3,-7.16138373654993,6.43442866727247,9.62742381410206
"47",6,4.41833398198146,2.24463503758428,4.95581089512939
"48",5,10.3543536031103,-0.885110337584161,10.3921152249165
"49",4,-25.3289759427985,-7.03719619482655,26.2883843663955
"50",5,-5.4631427499483,1.80774995967649,5.75446684090047
"51",4,5.03370799886895,-1.61251993325959,5.28568224102024
"52",7,4.28740386203768,5.90363702873411,7.29621559736663
"53",10,-9.60826966129748,-0.252931670919672,9.61159821852556
"54",4,1.57460710847236,-8.73711229151291,8.87786678997594
"55",4,9.91178128399447,0.0669826112234311,9.91200761157645
"56",8,-0.575329783794125,3.0258264353483,3.08003733369795
"57",3,-19.8863627639323,1.31892961759292,19.9300526671375
"58",2,-23.2889498218771,0.48926074089399,23.2940885178728
"59",5,-12.7123882323912,1.94415588229914,12.8601927149524
"60",4,30.9472349680672,21.2766842800434,37.5556739537637
"61",8,-3.89248895823966,5.2800737572734,6.55977508549377
"62",4,-3.99815859245196,-4.68374154698178,6.1581415223524
"63",4,7.07994016086553,9.59773995478242,11.9265319737576
"64",6,3.00607238510993,23.6843330865311,23.8743398848695
"65",5,-43.3780243879317,-77.6132479430971,88.912705819116
"66",4,2.73581525813523,10.0123387221688,10.3793839804723
"67",3,-58.724549375077,11.269257111621,59.7960605320591
"68",7,9.41727895202294,3.80993053755622,10.1587751998564
"69",5,2.00431282736395,-1.38685698265584,2.43734326681264
"70",4,-13.508176178055,-8.91875168294197,16.1868760185328
"71",6,-19.8279154972716,-27.8157908889703,34.1593977661472
"72",6,-0.716582167197497,4.00313774708239,4.06676798261978
"73",4,-2.53524824102917,1.94142131544792,3.19321160709982
"74",5,0.946534736279663,0.617522298562635,1.13016007547873
"75",2,15.4620749404929,15.4039966526846,21.8256471689006
"76",3,-22.1057666342164,34.7004451781517,41.1434783902424
"77",3,-0.793257409645894,-8.51076300500128,8.547651387677
"78",5,6.90810493250004,6.96888100772286,9.81260496801088
"79",3,10.2823731627005,13.4228185458713,16.9085556914957
"80",4,15.609761412651,-3.87639130725183,16.0838758055024
"81",6,-3.1555635145082,-13.1159823023979,13.4902399107989
"82",4,-0.618299881202205,-11.1979355953393,11.2149924806244
"83",1,121.887294607477,-19.5910863903595,123.451704130338
"84",5,6.71312846143584,6.54336954219955,9.37452818575552
"85",3,-16.8860002957832,-5.01368855058197,17.6145984589892
"86",6,2.65391294644107,-2.11921611889178,3.39622303240795
"87",6,40.2025120068423,1.35342175502823,40.2252870978851
"88",4,6.64598922459977,-2.84783478768269,7.23044505901483
"89",7,-5.41810801122465,0.773083116355072,5.47298382293333
"90",7,8.74176366310832,-8.03144791047861,11.8710819844011
"91",4,13.7185431500925,-16.2848351422515,21.2930571260037
"92",5,23.5985820510828,28.230362655619,36.7946524713776
"93",4,-11.4317098158335,7.94852689595526,13.9234718777016
"94",6,0.870757278082615,-3.92474177278202,4.0201761429512
"95",1,-1.95868640772428,65.902063475644,65.9311642760206
"96",3,-6.62874740788379,6.46310504016702,9.25807857807215
"97",6,4.23208222259983,2.30987178025473,4.82141344214149
"98",5,10.2973874003762,-0.891679433944022,10.3359218014817
"99",4,-25.2177604402938,-7.13531699980561,26.2077887337288
"100",5,-5.33860030990605,1.86762785162367,5.65585422912308
"101",4,5.00472283519011,-1.73255307058339,5.29612979443115
"102",7,4.27516350652996,5.68003259695258,7.10913449795469
"103",10,-9.55606803980745,-0.254698318780588,9.55946168018989
"104",4,1.81541628265886,-8.521695048316,8.71292274588937
"105",4,9.16017839448898,0.309442172380659,9.16540357414284
"106",8,-0.439640560499808,2.83443296932134,2.86832600657812
"107",3,-19.727858203224,1.44958607963125,19.7810436804728
"108",2,-22.9519915413347,0.144113291630936,22.9524439734492
"109",5,-12.6274825230717,1.9627231674066,12.7791078367137
"110",4,30.6665965699103,21.1895140794231,37.2751345014838
"111",8,-3.78276086233424,5.2367845637914,6.46012324256833
"112",4,-3.71056178038892,-4.51888634129168,5.8471020592765
"113",4,7.22563298811757,9.32191755158427,11.7944020161053
"114",6,2.91312483633453,23.4790253416105,23.6590559258829
"115",5,-42.9836714643823,-76.7865249251818,87.9986728459214
"116",4,2.86082086697259,9.80497345514326,10.2138044082002
"117",3,-56.7197098323746,10.6709006874154,57.7147607198492
"118",7,9.33206234434113,3.79565401292217,10.0744417703653
"119",5,2.01858980306277,-1.22888833336933,2.36323323625076
"120",4,-13.3331551712506,-8.90025160198762,16.0308298412568
"121",6,-19.7217538065533,-27.2963359367091,33.6754736978706
"122",6,-0.442633306180921,3.96404335144377,3.98867947269096
"123",4,-2.33707380147046,2.06710967678434,3.12007313526062
"124",5,1.1560347926167,0.214848753731622,1.17583010197918
"125",2,15.2184789413712,15.1085273224382,21.4445727199639
"126",3,-22.0842600961155,34.7180776945013,41.1468037980389
"127",3,-0.668895026843109,-8.25365613906139,8.28071616581569
"128",5,6.8890239779552,6.99269334708981,9.81613017513907
"129",3,10.4079901703976,13.1125831595324,16.7411497963176
"130",4,15.6341917507566,-3.82356993347221,16.094956934878
"131",6,-3.0407286100537,-12.8982083554163,13.2517851348311
"132",4,-0.67790121345275,-10.8979636224835,10.9190274828931
"133",1,107.922043680332,-18.8260276357945,109.551754110481
"134",5,6.45826088877519,6.45374016744281,9.13016406513859
"135",3,-16.5879779153564,-4.93154522603057,17.3055236741549
"136",6,2.61186956669779,-1.99075806829497,3.28404937842347
"137",6,39.5601360510473,1.24180216035621,39.5796214860986
"138",4,6.49497667457553,-2.75319073692359,7.05441572613651
"139",7,-5.13320929609765,0.593669127467304,5.16742495934397
"140",7,8.7040896165953,-8.01320664281256,11.8310040467467
"141",4,13.7050684659167,-16.2808148979892,21.2813024835899
"142",5,23.319852205819,28.0124415619618,36.448763890749
"143",4,-11.2355156205638,7.72962031095237,13.6375892815197
"144",6,1.1012285107914,-3.72732349277121,3.88659808222358
"145",1,-1.88523434333905,65.2299330636595,65.2571703034908
"146",3,-6.12164135636889,6.42126034012527,8.87170092212715
"147",6,4.03880653401172,2.37494894456423,4.68533250778027
"148",5,10.2333802662869,-0.901855564957596,10.2730431292035
"149",4,-25.1149236391936,-7.23685263715729,26.1367829981897
"150",5,-5.20874231543835,1.92142817065622,5.5518359777311
"151",4,4.96395378337954,-1.87655160087911,5.30681477670835
"152",7,4.22527670719217,5.41328528198859,6.8670678456336
"153",10,-9.48199644792708,-0.232053314625229,9.48483554835456
"154",4,2.13095396159448,-8.27453811059486,8.54452723853824
"155",4,8.33743799571092,0.399670261811166,8.34701195940801
"156",8,-0.222937192926035,2.61453331684201,2.62402085678956
"157",3,-19.6088449694646,1.52617681711009,19.668147261844
"158",2,-22.4847260660313,-0.419636832389145,22.4886416071662
"159",5,-12.5373499586865,1.9797724434146,12.6927003791266
"160",4,30.3541153096808,21.0803875264279,36.9561233694468
"161",8,-3.66935431125557,5.1890994691608,6.35538467461842
"162",4,-3.3976779555149,-4.36521942933736,5.53166847846618
"163",4,7.39674717384586,9.014849939385,11.6610200318594
"164",6,2.81912684848756,23.2529967105735,23.4232647641144
"165",5,-42.5268922992521,-75.8137977538517,86.9267996563437
"166",4,3.01284670038494,9.57726943335964,10.0399868047316
"167",3,-54.5579131741426,10.2483839188655,55.5121181623053
"168",7,9.24006155761348,3.77525968148001,9.98154914084457
"169",5,2.03234070129373,-1.04679052955622,2.28608379962408
"170",4,-13.1599581376637,-8.90318337248773,15.8887121047995
"171",6,-19.5594879452743,-26.6742404691167,33.0770112508007
"172",6,-0.167307739036828,3.91084431375412,3.91442142927464
"173",4,-2.16239568044835,2.11616599235737,3.02557657084258
"174",5,1.52685939853943,-0.339347247456594,1.56411514194594
"175",2,14.9725217056457,14.7731432958753,21.0338339126869
"176",3,-22.0840121334675,34.7201708063849,41.1484368200747
"177",3,-0.534364670872282,-7.98892961294286,8.00678099875548
"178",5,6.86690858105803,7.01479177842827,9.81640143613297
"179",3,10.5548960131941,12.7509809754063,16.5527443550764
"180",4,15.6540457011768,-3.75697378101133,16.0985713280942
"181",6,-2.92290246388819,-12.6638580974317,12.996794248017
"182",4,-0.750585158311952,-10.5632989583257,10.5899321510028
"183",1,92.6492885351671,-16.3488254839445,94.080682187031
"184",5,6.17830514769174,6.3435143905121,8.85503412306403
"185",3,-16.2455241091793,-4.94689906076825,16.9820158962167
"186",6,2.56489142082841,-1.84341481796191,3.15861460006135
"187",6,38.7931838174048,1.14190434062713,38.8099865526142
"188",4,6.33054892718243,-2.65617794449573,6.86521164948876
"189",7,-4.95943998013999,0.453062240035022,4.98009139574331
